id,movieName,castName,award,,,
1,The Noose,Richard Barthelmess,Actor,,,
2,The Last Command,Emil Jannings,Actor,,,
3,A Ship Comes In,Louise Dresser,Actress,,,
4,7th Heaven,Janet Gaynor,Actress,,,
5,Sadie Thompson,Gloria Swanson,Actress,,,
6,Sunrise,Rochus Gliese,Art Direction,,,
7,The Dove,William Cameron Menzies,Art Direction,,,
8,7th Heaven,Harry Oliver,Art Direction,,,
9,The Devil Dancer,George Barnes,Cinematography,,,
10,Sunrise,Charles Rosher,Cinematography,,,
11,Sunrise,Karl Struss,Cinematography,,,
12,Two Arabian Knights,Lewis Milestone,Directing (Comedy Picture),,,
13,Speedy,Ted Wilde,Directing (Comedy Picture),,,
14,7th Heaven,Frank Borzage,Directing (Dramatic Picture),,,
15,Sorrell and Son,Herbert Brenon,Directing (Dramatic Picture),,,
16,The Crowd,King Vidor,Directing (Dramatic Picture),,,
17,,Ralph Hammeras,Engineering Effects,,,
18,Wings,Roy Pomeroy,Engineering Effects,,,
19,,Nugent Slaughter,Engineering Effects,,,
20,The Racket,The Caddo Company,Outstanding Picture,,,
21,7th Heaven,Fox,Outstanding Picture,,,
22,Wings,Paramount Famous Lasky,Outstanding Picture,,,
23,Sunrise,Fox,Unique and Artistic Picture,,,
24,The Crowd,Metro-Goldwyn-Mayer,Unique and Artistic Picture,,,
25,Chang,Paramount Famous Lasky,Unique and Artistic Picture,,,
26,The Jazz Singer,Alfred Cohn,Writing (Adaptation),,,
27,Glorious Betsy,Anthony Coldeway,Writing (Adaptation),,,
28,7th Heaven,Benjamin Glazer,Writing (Adaptation),,,
29,The Last Command,Lajos Biro,Writing (Original Story),,,
30,Underworld,Ben Hecht,Writing (Original Story),,,
31,The Private Life of Helen of Troy,Gerald Duffy,Writing (Title Writing),,,
32,,Joseph Farnham,Writing (Title Writing),,,
33,,"George Marion, Jr.",Writing (Title Writing),,,
34,The Jazz Singer,Warner Brothers,Special Award,,,
35,The Circus,Charles Chaplin,Special Award,,,
36,Thunderbolt,George Bancroft,Actor,,,
37,In Old Arizona,Warner Baxter,Actor,,,
38,Alibi,Chester Morris,Actor,,,
39,The Valiant,Paul Muni,Actor,,,
40,The Patriot,Lewis Stone,Actor,,,
41,Madame X,Ruth Chatterton,Actress,,,
42,The Barker,Betty Compson,Actress,,,
43,The Letter,Jeanne Eagels,Actress,,,
44,The Divine Lady,Corinne Griffith,Actress,,,
45,The Broadway Melody,Bessie Love,Actress,,,
46,Coquette,Mary Pickford,Actress,,,
47,The Patriot,Hans Dreier,Art Direction,,,
48,The Bridge of San Luis Rey,Cedric Gibbons,Art Direction,,,
49,Dynamite,Mitchell Leisen,Art Direction,,,
50,Alibi,William Cameron Menzies,Art Direction,,,
51,Street Angel,Harry Oliver,Art Direction,,,
52,Our Dancing Daughters,George Barnes,Cinematography,,,
53,White Shadows in the South Seas,Clyde De Vinna,Cinematography,,,
54,In Old Arizona,Arthur Edeson,Cinematography,,,
55,Four Devils,Ernest Palmer,Cinematography,,,
56,The Divine Lady,John Seitz,Cinematography,,,
57,Madame X,Lionel Barrymore,Directing,,,
58,The Broadway Melody,Harry Beaumont,Directing,,,
59,In Old Arizona,Irving Cummings,Directing,,,
60,The Divine Lady,Frank Lloyd,Directing,,,
61,Drag,Frank Lloyd,Directing,,,
62,The Patriot,Ernst Lubitsch,Directing,,,
63,Alibi,Feature Productions,Outstanding Picture,,,
64,In Old Arizona,Fox,Outstanding Picture,,,
65,The Broadway Melody,Metro-Goldwyn-Mayer,Outstanding Picture,,,
66,Hollywood Revue,Metro-Goldwyn-Mayer,Outstanding Picture,,,
67,The Patriot,Paramount Famous Lasky,Outstanding Picture,,,
68,In Old Arizona,Tom Barry,Writing,,,
69,The Cop,Elliott Clawson,Writing,,, and Skyscraper
70,The Last of Mrs. Cheyney,Hans Kraly,Writing,,,
71,The Patriot,Hans Kraly,Writing,,,
72,Our Dancing Daughters,Josephine Lovett,Writing,,,
73,A Woman of Affairs,Bess Meredyth,Writing,,,
74,Disraeli,George Arliss,Actor,,,
75,The Green Goddess,George Arliss,Actor,,,
76,The Big House,Wallace Beery,Actor,,,
77,The Big Pond,Maurice Chevalier,Actor,,,
78,Bulldog Drummond,Ronald Colman,Actor,,,
79,The Rogue Song,Lawrence Tibbett,Actor,,,
80,The Devil's Holiday,Nancy Carroll,Actress,,,
81,Sarah and Son,Ruth Chatterton,Actress,,,
82,Anna Christie,Greta Garbo,Actress,,,
83,The Divorcee,Norma Shearer,Actress,,,
84,Their Own Desire,Norma Shearer,Actress,,,
85,The Trespasser,Gloria Swanson,Actress,,,
86,(William Cameron Menzies),Bulldog Drummond ,Art Direction,,,
87,Herman Rosse,King of Jazz ,Art Direction,,,
88,(Hans Dreier),The Love Parade ,Art Direction,,,
89,(Jack Okey),Sally ,Art Direction,,,
90,(Hans Dreier),The Vagabond King ,Art Direction,,,
91,(Arthur Edeson),All Quiet on the Western Front ,Cinematography,,,
92,(William Daniels),Anna Christie ,Cinematography,,,
93,"(Gaetano Gaudio), (Harry Perry)",Hell's Angels ,Cinematography,,,
94,(Victor Milner),The Love Parade ,Cinematography,,,
95,"Joseph T. Rucker, Willard Van Der Veer",With Byrd at the South Pole ,Cinematography,,,
96,Anna Christie,Clarence Brown,Directing,,,
97,The Divorcee,Robert Leonard,Directing,,,
98,The Love Parade,Ernst Lubitsch,Directing,,,
99,All Quiet on the Western Front,Lewis Milestone,Directing,,,
100,Hallelujah,King Vidor,Directing,,,
101,Universal,All Quiet on the Western Front ,Outstanding Production,,,
102,Cosmopolitan,The Big House ,Outstanding Production,,,
103,Warner Brothers,Disraeli ,Outstanding Production,,,
104,Metro-Goldwyn-Mayer,The Divorcee ,Outstanding Production,,,
105,Paramount Famous Lasky,The Love Parade ,Outstanding Production,,,
106,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",The Big House ,Sound Recording,,,
107,"(RKO Radio Studio Sound Department, John Tribby, Sound Director)",The Case of Sergeant Grischa ,Sound Recording,,,
108,"(Paramount Famous Lasky Studio Sound Department, Franklin Hansen, Sound Director)",The Love Parade ,Sound Recording,,,
109,"(United Artists Studio Sound Department, Oscar Lagerstrom, Sound Director)",Raffles ,Sound Recording,,,
110,"(First National Studio Sound Department, George Groves, Sound Director)",Song of the Flame ,Sound Recording,,,
111,"(George Abbott), (Maxwell Anderson), (Del Andrews)",All Quiet on the Western Front ,Writing,,,
112,Frances Marion,The Big House ,Writing,,,
113,(Julian Josephson),Disraeli ,Writing,,,
114,(John Meehan),The Divorcee ,Writing,,,
115,(Howard Estabrook),Street of Chance ,Writing,,,
116,A Free Soul,Lionel Barrymore,Actor,,,
117,Skippy,Jackie Cooper,Actor,,,
118,Cimarron,Richard Dix,Actor,,,
119,The Royal Family of Broadway,Fredric March,Actor,,,
120,The Front Page,Adolphe Menjou,Actor,,,
121,Morocco,Marlene Dietrich,Actress,,,
122,Min and Bill,Marie Dressler,Actress,,,
123,Cimarron,Irene Dunne,Actress,,,
124,Holiday,Ann Harding,Actress,,,
125,A Free Soul,Norma Shearer,Actress,,,
126,Max Rée,Cimarron ,Art Direction,,,
127,"Stephen Goosson, Ralph Hammeras",Just Imagine ,Art Direction,,,
128,Hans Dreier,Morocco ,Art Direction,,,
129,Anton Grot,Svengali ,Art Direction,,,
130,Richard Day,Whoopee! ,Art Direction,,,
131,Edward Cronjager,Cimarron ,Cinematography,,,
132,Lee Garmes,Morocco ,Cinematography,,,
133,Charles Lang,The Right to Love ,Cinematography,,,
134,Barney Chick McGill,Svengali ,Cinematography,,,
135,Floyd Crosby,Tabu ,Cinematography,,,
136,Wesley Ruggles,Cimarron ,Directing,,,
137,Clarence Brown,A Free Soul ,Directing,,,
138,Lewis Milestone,The Front Page ,Directing,,,
139,Josef Von Sternberg,Morocco ,Directing,,,
140,Norman Taurog,Skippy ,Directing,,,
141,RKO Radio,Cimarron ,Outstanding Production,,,
142,Fox,East Lynne ,Outstanding Production,,,
143,The Caddo Company,The Front Page ,Outstanding Production,,,
144,Paramount Publix,Skippy ,Outstanding Production,,,
145,Metro-Goldwyn-Mayer,Trader Horn ,Outstanding Production,,,
146,,Samuel Goldwyn - United Artists Studio Sound Department,Sound Recording,,,
147,,Metro-Goldwyn-Mayer Studio Sound Department,Sound Recording,,,
148,,Paramount Publix Studio Sound Department,Sound Recording,,,
149,,RKO Radio Studio Sound Department,Sound Recording,,,
150,Howard Estabrook,Cimarron ,Writing (Adaptation),,,
151,"Seton I. Miller, Fred Niblo, Jr.",The Criminal Code ,Writing (Adaptation),,,
152,Horace Jackson,Holiday ,Writing (Adaptation),,,
153,"Francis Faragoh, Robert N. Lee",Little Caesar ,Writing (Adaptation),,,
154,"Joseph L. Mankiewicz, Sam Mintz",Skippy ,Writing (Adaptation),,,
155,John Monk Saunders,The Dawn Patrol ,Writing (Original Story),,,
156,Rowland Brown,The Doorway to Hell ,Writing (Original Story),,,
157,"Harry d'Abbadie d'Arrast, Douglas Doty, Donald Ogden Stewart",Laughter ,Writing (Original Story),,,
158,"John Bright, Kubec Glasmon",The Public Enemy ,Writing (Original Story),,,
159,"Lucien Hubbard, Joseph Jackson",Smart Money ,Writing (Original Story),,,
160,The Champ,Wallace Beery,Actor,,,
161,The Guardsman,Alfred Lunt,Actor,,,
162,Dr. Jekyll and Mr. Hyde,Fredric March,Actor,,,
163,Emma,Marie Dressler,Actress,,,
164,The Guardsman,Lynn Fontanne,Actress,,,
165,The Sin of Madelon Claudet,Helen Hayes,Actress,,,
166,Lazare Meerson,À Nous la Liberté ,Art Direction,,,
167,Richard Day,Arrowsmith ,Art Direction,,,
168,Gordon Wiles,Transatlantic ,Art Direction,,,
169,Ray June,Arrowsmith ,Cinematography,,,
170,Karl Struss,Dr. Jekyll and Mr. Hyde ,Cinematography,,,
171,Lee Garmes,Shanghai Express ,Cinematography,,,
172,Frank Borzage,Bad Girl ,Directing,,,
173,King Vidor,The Champ ,Directing,,,
174,Josef Von Sternberg,Shanghai Express ,Directing,,,
175,Samuel Goldwyn Productions,Arrowsmith ,Outstanding Production,,,
176,Fox,Bad Girl ,Outstanding Production,,,
177,Metro-Goldwyn-Mayer,The Champ ,Outstanding Production,,,
178,First National,Five Star Final ,Outstanding Production,,,
179,Metro-Goldwyn-Mayer,Grand Hotel ,Outstanding Production,,,
180,Paramount Publix,One Hour with You ,Outstanding Production,,,
181,Paramount Publix,Shanghai Express ,Outstanding Production,,,
182,Paramount Publix,The Smiling Lieutenant ,Outstanding Production,,,
183,"Walt Disney, Producer",Flowers and Trees ,Short Subject (Cartoon),,,
184,"Leon Schlesinger, Producer",It's Got Me Again ,Short Subject (Cartoon),,,
185,"Walt Disney, Producer",Mickey's Orphans ,Short Subject (Cartoon),,,
186,"Mack Sennett, Producer",The Loud Mouth ,Short Subject (Comedy),,,
187,"Hal Roach, Producer",The Music Box ,Short Subject (Comedy),,,
188,RKO Radio,Scratch-As-Catch-Can ,Short Subject (Comedy),,,
189,RKO Radio,Stout Hearts and Willing Hands ,Short Subject (Comedy),,,
190,Paramount Publix,Screen Souvenirs ,Short Subject (Novelty),,,
191,Metro-Goldwyn-Mayer,Swing High ,Short Subject (Novelty),,,
192,"Mack Sennett, Producer",Wrestling Swordfish ,Short Subject (Novelty),,,
193,,Metro-Goldwyn-Mayer Studio Sound Department,Sound Recording,,,
194,,Paramount Publix Studio Sound Department,Sound Recording,,,
195,,RKO Radio Studio Sound Department,Sound Recording,,,
196,,Warner Brothers-First National Studio Sound Department,Sound Recording,,,
197,Sidney Howard,Arrowsmith ,Writing (Adaptation),,,
198,Edwin Burke,Bad Girl ,Writing (Adaptation),,,
199,"Percy Heath, Samuel Hoffenstein",Dr. Jekyll and Mr. Hyde ,Writing (Adaptation),,,
200,Frances Marion,The Champ ,Writing (Original Story),,,
201,"Grover Jones, William Slavens McNutt",Lady and Gent ,Writing (Original Story),,,
202,Lucien Hubbard,The Star Witness ,Writing (Original Story),,,
203,"Adela Rogers St. Johns, Jane Murfin",What Price Hollywood? ,Writing (Original Story),,,
204,“Mickey Mouse”,Walt Disney,Special Award,,,
205,Berkeley Square,Leslie Howard,Actor,,,
206,The Private Life of Henry VIII,Charles Laughton,Actor,,,
207,I Am a Fugitive from a Chain Gang,Paul Muni,Actor,,,
208,Morning Glory,Katharine Hepburn,Actress,,,
209,Lady for a Day,May Robson,Actress,,,
210,Cavalcade,Diana Wynyard,Actress,,,
211,William S. Darling,Cavalcade ,Art Direction,,,
212,"Hans Dreier, Roland Anderson [Second]",A Farewell to Arms ,Art Direction,,,
213,Cedric Gibbons [Third],When Ladies Meet ,Art Direction,,,
214,,Percy Ikerd (Fox),Assistant Director,,,
215,,William Tummel (Fox),Assistant Director,,,
216,,Charles Dorian (Metro-Goldwyn-Mayer),Assistant Director,,,
217,,Bunny Dull (Metro-Goldwyn-Mayer),Assistant Director,,,
218,,John S. Waters (Metro-Goldwyn-Mayer),Assistant Director,,,
219,,Charles Barton (Paramount),Assistant Director,,,
220,,Sidney S. Brod (Paramount),Assistant Director,,,
221,,Arthur Jacobson (Paramount),Assistant Director,,,
222,,Eddie Killey (RKO Radio),Assistant Director,,,
223,,Dewey Starkey (RKO Radio),Assistant Director,,,
224,,Fred Fox (United Artists),Assistant Director,,,
225,,Benjamin Silvey (United Artists),Assistant Director,,,
226,,Scott Beal (Universal),Assistant Director,,,
227,,Joe McDonough (Universal),Assistant Director,,,
228,,W. J. Reiter (Universal),Assistant Director,,,
229,,Al Alborn (Warner Brothers),Assistant Director,,,
230,,Gordon Hollingshead (Warner Brothers),Assistant Director,,,
231,,Frank X. Shaw (Warner Brothers),Assistant Director,,,
232,"Charles Bryant Lang, Jr.",A Farewell to Arms ,Cinematography,,,
233,George J. Folsey [Second],Reunion in Vienna ,Cinematography,,,
234,Karl Struss [Third],The Sign of the Cross ,Cinematography,,,
235,Frank Lloyd,Cavalcade ,Directing,,,
236,Frank Capra [Second],Lady for a Day ,Directing,,,
237,George Cukor [Third],Little Women ,Directing,,,
238,Fox,Cavalcade ,Outstanding Production,,,
239,Paramount [Second],A Farewell to Arms ,Outstanding Production,,,
240,Warner Brothers,42nd Street ,Outstanding Production,,,
241,Warner Brothers,I Am a Fugitive from a Chain Gang ,Outstanding Production,,,
242,Columbia,Lady for a Day ,Outstanding Production,,,
243,RKO Radio [Third],Little Women ,Outstanding Production,,,
244,London Films,The Private Life of Henry VIII ,Outstanding Production,,,
245,Paramount,She Done Him Wrong ,Outstanding Production,,,
246,Metro-Goldwyn-Mayer,Smilin' Through ,Outstanding Production,,,
247,Fox,State Fair ,Outstanding Production,,,
248,"Walt Disney, Producer [Second]",Building a Building ,Short Subject (Cartoon),,,
249,"Walter Lantz, Producer [Third]",The Merry Old Soul ,Short Subject (Cartoon),,,
250,"Walt Disney, Producer",The Three Little Pigs ,Short Subject (Cartoon),,,
251,"Warren Doane, Producer [Third]",Mister Mugg ,Short Subject (Comedy),,,
252,"Louis Brock, Producer [Second]",A Preferred List ,Short Subject (Comedy),,,
253,"Louis Brock, Producer",So This Is Harris ,Short Subject (Comedy),,,
254,"Joe Rock, Producer",Krakatoa ,Short Subject (Novelty),,,
255,"Pete Smith, Producer [tied for 2nd]",Menu ,Short Subject (Novelty),,,
256,Educational [tied for 2nd],The Sea ,Short Subject (Novelty),,,
257,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director",A Farewell to Arms ,Sound Recording,,,
258,"Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director",42nd Street ,Sound Recording,,,
259,"Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director [Third]",Gold Diggers of 1933 ,Sound Recording,,,
260,"Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director [Second]",I Am a Fugitive from a Chain Gang ,Sound Recording,,,
261,Robert Riskin [Second],Lady for a Day ,Writing (Adaptation),,,
262,"Victor Heerman, Sarah Y. Mason",Little Women ,Writing (Adaptation),,,
263,"Paul Green, Sonya Levien [Third]",State Fair ,Writing (Adaptation),,,
264,Robert Lord,One Way Passage ,Writing (Original Story),,,
265,Frances Marion [Second],The Prizefighter and the Lady ,Writing (Original Story),,,
266,Charles MacArthur [Third],Rasputin and the Empress ,Writing (Original Story),,,
267,It Happened One Night,Clark Gable,Actor,,,
268,The Affairs of Cellini,Frank Morgan,Actor,,,
269,The Thin Man,William Powell,Actor,,,
270,It Happened One Night,Claudette Colbert,Actress,,,
271,Of Human Bondage,Bette Davis,Actress,,,
272,One Night of Love,Grace Moore,Actress,,,
273,The Barretts of Wimpole Street,Norma Shearer,Actress,,,
274,Richard Day [Third],The Affairs of Cellini ,Art Direction,,,
275,"Van Nest Polglase, Carroll Clark [Second]",The Gay Divorcee ,Art Direction,,,
276,"Cedric Gibbons, Fredric Hope",The Merry Widow ,Art Direction,,,
277,Cullen Tate [Second],Cleopatra ,Assistant Director,,,
278,Scott Beal [Third],Imitation of Life ,Assistant Director,,,
279,John Waters,Viva Villa! ,Assistant Director,,,
280,Charles Rosher [Third],The Affairs of Cellini ,Cinematography,,,
281,Victor Milner,Cleopatra ,Cinematography,,,
282,George Folsey [Second],Operator 13 ,Cinematography,,,
283,Frank Capra,It Happened One Night ,Directing,,,
284,Victor Schertzinger [Third],One Night of Love ,Directing,,,
285,W. S. Van Dyke [Second],The Thin Man ,Directing,,,
286,Anne Bauchens [Third],Cleopatra ,Film Editing,,,
287,Conrad Nervig,Eskimo ,Film Editing,,,
288,Gene Milford [Second],One Night of Love ,Film Editing,,,
289,"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Kenneth Webb and Samuel Hoffenstein) [Second]",The Gay Divorcee ,Music (Scoring),,,
290,"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner) [Third]",The Lost Patrol ,Music (Scoring),,,
291,"Columbia Studio Music Department, Louis Silvers, head of department  (Thematic Music by Victor Schertzinger and Gus Kahn)",One Night of Love ,Music (Scoring),,,
292,Music by Vincent Youmans,"""Carioca"" from Flying Down to Rio",Music (Song),,,
293,Music by Con Conrad,"""The Continental"" from The Gay Divorcee",Music (Song),,,
294,Music by Ralph Rainger,"""Love In Bloom"" from She Loves Me Not",Music (Song),,,
295,Metro-Goldwyn-Mayer [Second],The Barretts of Wimpole Street ,Outstanding Production,,,
296,Paramount,Cleopatra ,Outstanding Production,,,
297,First National,Flirtation Walk ,Outstanding Production,,,
298,RKO Radio,The Gay Divorcee ,Outstanding Production,,,
299,Warner Brothers,Here Comes the Navy ,Outstanding Production,,,
300,20th Century [Third],The House of Rothschild ,Outstanding Production,,,
301,Universal,Imitation of Life ,Outstanding Production,,,
302,Columbia,It Happened One Night ,Outstanding Production,,,
303,Columbia,One Night of Love ,Outstanding Production,,,
304,Metro-Goldwyn-Mayer,The Thin Man ,Outstanding Production,,,
305,Metro-Goldwyn-Mayer,Viva Villa! ,Outstanding Production,,,
306,Jesse L. Lasky (production company),The White Parade ,Outstanding Production,,,
307,"Charles Mintz, Producer [Third]",Holiday Land ,Short Subject (Cartoon),,,
308,"Walter Lantz, Producer [Second]",Jolly Little Elves ,Short Subject (Cartoon),,,
309,"Walt Disney, Producer",The Tortoise and the Hare ,Short Subject (Cartoon),,,
310,"Kenneth Macgowan, Producer",La Cucaracha ,Short Subject (Comedy),,,
311,"Jules White, Producer [Third]",Men in Black ,Short Subject (Comedy),,,
312,Warner Brothers [Second],"What, No Men! ",Short Subject (Comedy),,,
313,Skibo Productions [Third],Bosom Friends ,Short Subject (Novelty),,,
314,"Stacy Woodard and Horace Woodard, Producers",City of Wax ,Short Subject (Novelty),,,
315,"Pete Smith, Producer [Second]",Strikes and Spares ,Short Subject (Novelty),,,
316,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director",The Affairs of Cellini ,Sound Recording,,,
