movieId,name,role,gender,,
,,,2,,
1,Tim Allen,Buzz Lightyear (voice),2,,
2,Don Rickles,Mr. Potato Head (voice),2,,
3,Jim Varney,Slinky Dog (voice),2,,
4,Wallace Shawn,Rex (voice),2,,
5,John Ratzenberger,Hamm (voice),2,,
6,Annie Potts,Bo Peep (voice),1,,
7,John Morris,Andy (voice),2,,
8,Erik von Detten,Sid (voice),2,,
9,Laurie Metcalf,Mrs. Davis (voice),1,,
10,R. Lee Ermey,Sergeant (voice),2,,
11,Sarah Freeman,Hannah (voice),1,,
12,Penn Jillette,TV Announcer (voice),2,,
13,Sherry Lynn,Mom (voice),1,,
14,Jack Angel,Shark / Rocky Gibraltar (voice),2,,
15,Spencer Aste,Wounded Soldier (voice),0,,
16,Greg Berg,Local Announcer (voice),2,,
17,Lisa Bradley,Kid (voice),0,,
18,Kendall Cunningham,Kid (voice),0,,
19,Debi Derryberry,Aliens / Pizza Planet Announcer (voice),1,,
20,Cody Dorkin,Kid (voice),0,,
21,Gregory Grudt,Kid (voice),0,,
22,Sam Lasseter,Kid (voice),0,,
23,Brittany Levenbrown,Kid (voice),1,,
24,Bill Farmer,Monotone Announcer (voice),2,,
25,Craig Good,Mission Control (voice),2,,
26,Danielle Judovits,Burned Rag Doll (voice),0,,
27,Scott McAfee,Kid (voice),2,,
28,Ryan O'Donohue,Kid (voice),2,,
29,Jeff Pidgeon,Aliens / Robot / Mr. Spell (voice),2,,
30,Patrick Pinney,Pizza Delivery Guy / Angry Driver #2 (voice),2,,
31,Phil Proctor,Pizza Planet Announcer / Pizza Planet Guard (voice),2,,
32,Jan Rabson,Gas Station Attendant (voice),2,,
33,Joe Ranft,Lenny the Binoculars (voice),0,,
34,Andrew Stanton,Commercial Chorus (voice),2,,
35,Shane Sweet,Kid (voice),2,,
36,Nathan Lane,Timon (voice) (archive footage) (uncredited),2,,
37,John Lasseter,Commercial Chorus #1 (voice) (uncredited),2,,
38,Ernie Sabella,Pumbaa (voice) (archive footage) (uncredited),2,,
39,Robin Williams,Alan Parrish,2,,
40,Jonathan Hyde,Samuel Alan Parrish / Van Pelt,2,,
41,Kirsten Dunst,Judy Shepherd,1,,
42,Bradley Pierce,Peter Shepherd,2,,
43,Bonnie Hunt,Sarah Whittle,1,,
44,Bebe Neuwirth,Nora Shepherd,1,,
45,David Alan Grier,Carl Bentley,2,,
46,Patricia Clarkson,Carol Anne Parrish,1,,
47,Adam Hann-Byrd,Young Alan,0,,
48,Laura Bell Bundy,Young Sarah,1,,
49,James Handy,Exterminator,2,,
50,Gillian Barber,Mrs. Thomas,1,,
51,Brandon Obray,Benjamin,2,,
52,Cyrus Thiedeke,Caleb,0,,
53,Gary Joseph Thorup,Billy Jessup,0,,
54,Leonard Zola,Cop,0,,
55,Lloyd Berry,Bum,2,,
56,Malcolm Stewart,Jim Shepherd,2,,
57,Annabel Kershaw,Martha Shepherd,0,,
58,Darryl Henriques,Gun Salesman,2,,
59,Robyn Driscoll,Paramedic,0,,
60,Peter Bryant,Paramedic,2,,
61,Sarah Gilson,Girl,0,,
62,Florica Vlad,Girl,0,,
63,June Lion,Baker,0,,
64,Brenda Lockmuller,Pianist,0,,
