,movieId,apiid,name,role,gender
0,1,862,Tom Hanks,Woody (voice),2
1,1,862,Tim Allen,Buzz Lightyear (voice),2
2,1,862,Don Rickles,Mr. Potato Head (voice),2
3,1,862,Jim Varney,Slinky Dog (voice),2
4,1,862,Wallace Shawn,Rex (voice),2
5,1,862,John Ratzenberger,Hamm (voice),2
6,1,862,Annie Potts,Bo Peep (voice),1
7,1,862,John Morris,Andy (voice),2
8,1,862,Erik von Detten,Sid (voice),2
9,1,862,Laurie Metcalf,Mrs. Davis (voice),1
10,1,862,R. Lee Ermey,Sergeant (voice),2
11,1,862,Sarah Freeman,Hannah (voice),1
12,1,862,Penn Jillette,TV Announcer (voice),2
13,1,862,Sherry Lynn,Mom (voice),1
14,1,862,Jack Angel,Shark / Rocky Gibraltar (voice),2
15,1,862,Spencer Aste,Wounded Soldier (voice),0
16,1,862,Greg Berg,Local Announcer (voice),2
17,1,862,Lisa Bradley,Kid (voice),0
18,1,862,Kendall Cunningham,Kid (voice),0
19,1,862,Debi Derryberry,Aliens / Pizza Planet Announcer (voice),1
20,1,862,Cody Dorkin,Kid (voice),0
21,1,862,Gregory Grudt,Kid (voice),0
22,1,862,Sam Lasseter,Kid (voice),0
23,1,862,Brittany Levenbrown,Kid (voice),1
24,1,862,Bill Farmer,Monotone Announcer (voice),2
25,1,862,Craig Good,Mission Control (voice),2
26,1,862,Danielle Judovits,Burned Rag Doll (voice),0
27,1,862,Scott McAfee,Kid (voice),2
28,1,862,Ryan O'Donohue,Kid (voice),2
29,1,862,Jeff Pidgeon,Aliens / Robot / Mr. Spell (voice),2
30,1,862,Patrick Pinney,Pizza Delivery Guy / Angry Driver #2 (voice),2
31,1,862,Phil Proctor,Pizza Planet Announcer / Pizza Planet Guard (voice),2
32,1,862,Jan Rabson,Gas Station Attendant (voice),2
33,1,862,Joe Ranft,Lenny the Binoculars (voice),0
34,1,862,Andrew Stanton,Commercial Chorus (voice),2
35,1,862,Shane Sweet,Kid (voice),2
36,1,862,Nathan Lane,Timon (voice) (archive footage) (uncredited),2
37,1,862,John Lasseter,Commercial Chorus #1 (voice) (uncredited),2
38,1,862,Ernie Sabella,Pumbaa (voice) (archive footage) (uncredited),2
39,2,8844,Robin Williams,Alan Parrish,2
40,2,8844,Jonathan Hyde,Samuel Alan Parrish / Van Pelt,2
41,2,8844,Kirsten Dunst,Judy Shepherd,1
42,2,8844,Bradley Pierce,Peter Shepherd,2
43,2,8844,Bonnie Hunt,Sarah Whittle,1
44,2,8844,Bebe Neuwirth,Nora Shepherd,1
45,2,8844,David Alan Grier,Carl Bentley,2
46,2,8844,Patricia Clarkson,Carol Anne Parrish,1
47,2,8844,Adam Hann-Byrd,Young Alan,0
48,2,8844,Laura Bell Bundy,Young Sarah,1
49,2,8844,James Handy,Exterminator,2
50,2,8844,Gillian Barber,Mrs. Thomas,1
51,2,8844,Brandon Obray,Benjamin,2
52,2,8844,Cyrus Thiedeke,Caleb,0
53,2,8844,Gary Joseph Thorup,Billy Jessup,0
54,2,8844,Leonard Zola,Cop,0
55,2,8844,Lloyd Berry,Bum,2
56,2,8844,Malcolm Stewart,Jim Shepherd,2
57,2,8844,Annabel Kershaw,Martha Shepherd,0
58,2,8844,Darryl Henriques,Gun Salesman,2
59,2,8844,Robyn Driscoll,Paramedic,0
60,2,8844,Peter Bryant,Paramedic,2
61,2,8844,Sarah Gilson,Girl,0
62,2,8844,Florica Vlad,Girl,0
63,2,8844,June Lion,Baker,0
64,2,8844,Brenda Lockmuller,Pianist,0
65,2,8844,Frederick Richardson,Barber,0
66,2,8844,Frank Welker,Special Vocal Effects (voice),2
67,2,8844,Jaysen Clough,Looter (uncredited),0
68,2,8844,Daniel Olsen,Ice Cream Man (uncredited),0
69,2,8844,Falko Schilling,Extra (uncredited),0
70,2,8844,David Szehi,Townie (uncredited),0
71,2,8844,Tom Woodruff Jr.,Lion / Crocodile (uncredited),2
72,3,15602,Walter Matthau,Max Goldman,2
73,3,15602,Jack Lemmon,John Gustafson,2
74,3,15602,Ann-Margret,Ariel Gustafson,1
75,3,15602,Sophia Loren,Maria Sophia Coletta Ragetti,1
76,3,15602,Daryl Hannah,Melanie Gustafson,1
77,3,15602,Burgess Meredith,Grandpa Gustafson,2
78,3,15602,Kevin Pollak,Jacob Goldman,2
79,4,31357,Whitney Houston,Savannah 'Vannah' Jackson,1
80,4,31357,Angela Bassett,Bernadine 'Bernie' Harris,1
81,4,31357,Loretta Devine,Gloria 'Glo' Matthews,1
82,4,31357,Lela Rochon,Robin Stokes,1
83,4,31357,Gregory Hines,Marvin King,2
84,4,31357,Dennis Haysbert,Kenneth Dawkins,2
85,4,31357,Michael Beach,"John Harris, Sr.",2
86,4,31357,Mykelti Williamson,Troy,2
87,4,31357,Lamont Johnson,Joseph,2
88,4,31357,Wesley Snipes,James Wheeler,2
89,4,31357,Wendell Pierce,Michael Davenport,2
90,4,31357,Donald Faison,Tarik Matthews,2
91,4,31357,Giancarlo Esposito,David Matthews (Uncredited),2
92,4,31357,Brandon Hammond,"John Harris, Jr.",2
93,5,11862,Steve Martin,George Banks,2
94,5,11862,Diane Keaton,Nina Banks,1
95,5,11862,Martin Short,Franck Eggelhoffer,2
96,5,11862,Kimberly Williams-Paisley,Annie Banks-MacKenzie,1
97,5,11862,George Newbern,Bryan MacKenzie,2
98,5,11862,Kieran Culkin,Matty Banks,2
99,5,11862,BD Wong,Howard Weinstein,2
100,5,11862,Peter Michael Goetz,John MacKenzie,2
101,5,11862,Kate McGregor-Stewart,Joanna MacKenzie,1
